user_id,date,income_amount,income_type,budget_cycle,total_expense,saving_amount,saving_rate,food_pct,travel_pct,shopping_pct,bills_pct,subscriptions_pct,others_pct,max_single_expense,num_expense_entries,recurring_expense_ratio,discretionary_expense_ratio,essential_expense_ratio
9749,2025-02-27,342,salary,daily,342.0,0.0,0.0,38.2,20.67,14.76,7.28,16.82,2.26,130.65,7,24.1,17.02,58.87
9970,2025-01-22,5959,pocket_money,monthly,5959.0,-0.0,-0.0,2.0,17.11,35.19,14.92,18.6,12.18,2097.0,7,33.52,47.37,19.11
9413,2024-12-16,3133,salary,weekly,3132.99,0.01,0.0,56.56,7.03,7.32,18.45,3.13,7.52,1771.92,11,21.57,14.84,63.59
7322,2024-12-21,11263,salary,monthly,11263.01,-0.01,-0.0,5.07,36.64,0.0,10.26,7.68,40.35,4545.08,8,17.94,40.36,41.71
2811,2025-04-18,4839,pocket_money,weekly,4839.0,0.0,0.0,1.06,4.16,46.04,28.67,3.59,16.47,2227.81,5,32.26,62.51,5.23
1867,2025-05-15,3442,salary,weekly,3442.0,0.0,0.0,41.13,36.22,1.85,0.84,16.12,3.84,1415.72,4,16.96,5.69,77.35
4776,2025-04-24,737,salary,daily,737.0,0.0,0.0,0.28,21.64,6.51,8.18,49.98,13.4,368.33,10,58.16,19.92,21.92
5415,2025-03-12,755,salary,daily,755.0,0.0,0.0,11.35,18.72,0.6,22.01,31.42,15.91,237.2,7,53.42,16.51,30.07
3858,2025-01-26,644,salary,daily,644.01,-0.01,-0.0,10.62,65.7,2.54,3.92,4.26,12.96,423.11,6,8.18,15.5,76.32
3451,2025-03-11,739,salary,daily,739.0,0.0,0.0,23.13,0.88,24.37,14.38,24.76,12.48,182.94,11,39.14,36.85,24.01
6119,2025-05-05,1992,pocket_money,weekly,1992.0,0.0,0.0,44.09,0.7,14.9,0.27,14.94,25.11,878.18,6,15.21,40.01,44.78
8036,2025-02-15,4682,pocket_money,weekly,4681.99,0.01,0.0,4.66,9.89,20.13,30.16,33.0,2.16,1544.92,5,63.15,22.29,14.55
8137,2025-03-02,587,pocket_money,daily,587.0,0.0,0.0,5.01,1.25,28.79,3.65,37.41,23.88,219.58,6,41.06,52.67,6.27
9140,2025-04-18,772,salary,daily,771.99,0.01,0.0,18.11,8.7,0.58,23.67,11.62,37.3,287.97,9,35.3,37.88,26.82
7898,2024-12-20,3305,pocket_money,weekly,3305.01,-0.01,-0.0,23.25,23.59,26.94,11.3,9.14,5.78,890.28,4,20.44,32.72,46.84
7396,2025-02-12,10555,salary,monthly,10555.0,0.0,0.0,5.55,10.6,2.97,13.86,28.74,38.28,4039.97,11,42.6,41.25,16.15
3358,2024-11-25,7627,pocket_money,monthly,7626.99,0.01,0.0,11.26,1.83,68.34,4.81,12.9,0.86,5212.23,10,17.71,69.2,13.09
2274,2025-01-12,19888,pocket_money,monthly,19887.99,0.01,0.0,28.1,23.79,25.87,5.05,13.04,4.16,5588.17,11,18.09,30.03,51.88
3921,2025-02-03,705,pocket_money,daily,705.0,-0.0,-0.0,24.14,6.37,1.59,15.54,38.31,14.06,270.1,5,53.85,15.64,30.51
9646,2024-11-19,228,pocket_money,daily,227.99,0.01,0.0,0.61,0.73,28.01,42.57,0.52,27.54,97.07,6,43.09,55.56,1.35
8755,2025-04-25,4570,salary,weekly,4570.0,0.0,0.0,0.91,31.56,30.56,29.83,0.72,6.42,1442.15,5,30.55,36.98,32.47
4182,2025-02-08,4595,salary,weekly,4595.0,0.0,0.0,7.34,6.14,38.7,9.6,28.0,10.23,1778.37,10,37.59,48.94,13.47
5957,2025-03-13,1309,pocket_money,weekly,1309.01,-0.01,-0.0,5.82,6.15,2.44,19.72,8.01,57.87,757.48,11,27.73,60.31,11.96
7791,2025-02-07,4523,pocket_money,weekly,4523.0,0.0,0.0,18.57,21.62,3.08,3.83,18.89,34.03,1539.08,12,22.71,37.11,40.18
5584,2025-03-24,9037,pocket_money,monthly,9037.0,0.0,0.0,4.44,10.93,21.52,28.24,10.38,24.48,2552.49,6,38.63,46.0,15.37
9061,2025-05-15,2755,salary,weekly,2755.0,0.0,0.0,10.21,10.69,43.33,7.63,27.07,1.07,1193.7,8,34.7,44.4,20.91
1614,2025-01-03,4823,pocket_money,weekly,4823.01,-0.01,-0.0,19.72,2.45,0.35,5.14,9.98,62.36,3007.43,7,15.12,62.7,22.17
8147,2024-12-28,1100,salary,weekly,1099.99,0.01,0.0,42.4,16.99,21.76,5.71,2.36,10.78,466.39,9,8.06,32.54,59.39
9895,2025-05-06,10017,salary,monthly,10017.0,0.0,0.0,28.04,0.55,8.63,9.58,48.6,4.6,4868.2,3,58.18,13.23,28.59
3036,2025-04-13,2695,pocket_money,weekly,2694.99,0.01,0.0,28.35,29.02,8.25,3.06,22.63,8.68,782.09,5,25.69,16.93,57.37
3472,2025-01-26,534,salary,daily,534.0,0.0,0.0,29.68,25.42,4.51,9.16,20.53,10.69,158.51,3,29.69,15.2,55.11
8489,2025-02-03,4702,salary,weekly,4702.0,0.0,0.0,0.98,34.67,22.29,33.78,5.61,2.67,1629.99,6,39.39,24.96,35.65
1311,2025-03-17,1787,salary,weekly,1787.01,-0.01,-0.0,13.94,32.87,16.98,20.85,11.83,3.53,587.47,7,32.68,20.51,46.81
9283,2025-04-15,24112,salary,monthly,24111.99,0.01,0.0,34.3,8.25,20.21,7.56,8.31,21.37,8270.5,11,15.87,41.58,42.55
7231,2025-01-19,606,salary,daily,606.0,0.0,0.0,1.27,1.34,62.72,26.34,0.0,8.33,380.09,5,26.34,71.05,2.61
8752,2025-03-03,2583,salary,weekly,2583.0,0.0,0.0,2.34,24.76,33.16,6.51,0.4,32.83,856.56,6,6.91,65.99,27.1
8875,2025-04-21,504,salary,daily,504.0,-0.0,-0.0,1.19,3.46,83.17,9.59,2.41,0.18,419.16,11,12.0,83.35,4.65
7560,2025-04-19,21703,salary,monthly,21703.0,0.0,0.0,9.04,30.1,0.43,34.93,11.44,14.05,7580.66,8,46.37,14.49,39.15
8168,2025-01-23,25694,salary,monthly,25694.0,0.0,0.0,11.76,21.37,18.51,11.79,17.91,18.66,5490.43,9,29.69,37.18,33.13
2032,2025-01-19,304,pocket_money,daily,303.99,0.01,0.0,1.99,33.59,28.86,10.42,20.61,4.53,102.11,5,31.03,33.39,35.58
9065,2025-05-02,635,pocket_money,daily,634.98,0.02,0.0,2.1,5.17,1.12,14.19,6.67,70.75,449.28,6,20.86,71.87,7.27
3512,2025-03-23,4674,salary,weekly,4674.0,0.0,0.0,1.94,51.36,15.71,13.95,3.33,13.71,2400.8,3,17.28,29.41,53.31
5363,2025-03-06,27171,pocket_money,monthly,27171.01,-0.01,-0.0,2.37,19.38,30.17,10.71,7.6,29.77,8198.35,4,18.31,59.94,21.75
6354,2025-05-09,319,pocket_money,daily,319.0,0.0,0.0,2.99,7.28,35.04,10.07,39.22,5.39,125.11,4,49.29,40.44,10.27
5343,2025-02-10,759,pocket_money,daily,759.0,0.0,0.0,3.82,21.1,50.12,13.55,6.23,5.19,380.43,5,19.77,55.32,24.91
6052,2025-05-06,23970,pocket_money,monthly,23970.0,0.0,0.0,1.17,46.98,33.69,8.02,0.1,10.04,11261.22,4,8.12,43.73,48.15
3635,2025-04-20,697,pocket_money,daily,697.0,0.0,0.0,4.86,2.75,18.37,53.52,5.61,14.89,373.05,3,59.13,33.26,7.61
6551,2025-05-01,1603,pocket_money,weekly,1603.0,0.0,0.0,38.34,37.11,1.82,11.4,1.3,10.03,614.6,5,12.7,11.85,75.45
5317,2024-12-28,17817,salary,monthly,17817.0,0.0,0.0,20.96,3.98,16.22,26.51,3.81,28.53,5082.97,8,30.31,44.75,24.94
7219,2024-12-01,6921,salary,monthly,6921.0,0.0,0.0,9.8,43.16,2.78,25.46,3.54,15.25,2987.11,3,29.01,18.03,52.96
1101,2024-12-24,19753,salary,monthly,19752.99,0.01,0.0,18.36,36.17,9.92,4.23,5.31,26.02,7144.65,6,9.54,35.94,54.53
4714,2025-03-20,28797,salary,monthly,28796.99,0.01,0.0,50.1,0.67,10.19,15.77,6.27,17.01,14428.54,6,22.04,27.19,50.77
8740,2025-01-20,3173,salary,weekly,3173.01,-0.01,-0.0,0.4,10.78,41.16,4.49,10.79,32.37,1306.05,8,15.29,73.53,11.18
3532,2025-02-16,4914,salary,weekly,4914.01,-0.01,-0.0,3.59,0.4,23.31,0.33,46.19,26.18,2269.58,5,46.52,49.49,3.99
4397,2025-05-04,22059,salary,monthly,22059.0,0.0,0.0,5.86,46.42,17.72,2.9,2.55,24.53,10239.82,7,5.46,42.26,52.29
5954,2025-05-15,6735,pocket_money,monthly,6735.0,0.0,0.0,8.97,16.14,35.65,29.87,1.94,7.41,2401.29,10,31.82,43.07,25.12
2273,2025-04-12,27428,salary,monthly,27427.99,0.01,0.0,5.06,28.74,18.47,25.62,0.57,21.55,7882.18,7,26.19,40.02,33.8
7803,2024-12-31,1773,salary,weekly,1773.0,0.0,0.0,17.81,31.89,28.3,1.44,4.53,16.02,565.41,4,5.97,44.33,49.7
3208,2024-12-15,513,salary,daily,513.0,0.0,0.0,0.14,14.48,9.05,20.9,11.2,44.23,226.89,10,32.11,53.28,14.61
9048,2024-11-18,630,pocket_money,daily,629.99,0.01,0.0,17.17,15.25,9.65,30.59,26.99,0.35,192.7,10,57.58,10.01,32.42
1650,2025-04-12,27262,pocket_money,monthly,27261.99,0.01,0.0,2.91,10.44,4.0,12.96,46.36,23.33,12639.05,5,59.32,27.33,13.35
5262,2025-05-05,8846,salary,monthly,8846.0,0.0,0.0,2.96,35.5,30.33,14.33,4.24,12.63,3140.42,3,18.58,42.96,38.46
8315,2024-12-23,8181,pocket_money,monthly,8180.99,0.01,0.0,4.15,43.35,4.92,15.32,23.41,8.86,3546.36,11,38.72,13.78,47.5
8547,2025-02-03,3547,salary,weekly,3547.01,-0.01,-0.0,14.87,8.11,10.66,25.32,39.35,1.68,1395.77,4,64.67,12.34,22.99
6012,2024-12-21,654,pocket_money,daily,654.01,-0.01,-0.0,34.19,1.87,13.45,1.41,45.73,3.35,299.06,8,47.14,16.8,36.06
3854,2025-01-02,20372,salary,monthly,20372.0,0.0,0.0,31.14,36.14,0.31,1.11,26.51,4.78,7363.18,3,27.62,5.09,67.28
5500,2025-01-27,487,salary,daily,487.01,-0.01,-0.0,28.0,4.65,3.26,18.49,7.8,37.8,184.07,11,26.29,41.06,32.65
8155,2025-05-15,12905,salary,monthly,12905.01,-0.01,-0.0,2.4,25.26,23.95,3.97,43.39,1.03,5599.06,11,47.36,24.98,27.66
6301,2025-04-07,4658,pocket_money,weekly,4658.01,-0.01,-0.0,0.95,3.95,14.71,16.89,24.68,38.82,1808.39,5,41.57,53.53,4.9
7151,2025-02-01,763,salary,daily,762.99,0.01,0.0,22.5,3.1,30.39,26.07,4.2,13.74,231.84,10,30.28,44.12,25.6
2495,2025-03-29,721,pocket_money,daily,721.0,0.0,0.0,4.9,26.06,6.49,58.26,2.78,1.5,420.08,11,61.04,8.0,30.96
9516,2025-01-11,608,pocket_money,daily,608.01,-0.01,-0.0,12.63,6.17,33.8,15.78,9.88,21.74,205.52,9,25.66,55.54,18.8
3487,2025-01-22,5090,salary,monthly,5089.99,0.01,0.0,20.0,9.17,15.7,11.95,6.65,36.53,1859.54,5,18.59,52.24,29.17
2908,2025-05-14,252,salary,daily,252.0,-0.0,-0.0,15.32,30.72,33.29,6.22,1.32,13.13,83.88,6,7.54,46.42,46.04
2043,2025-05-07,20911,pocket_money,monthly,20911.0,0.0,0.0,25.84,24.36,27.24,3.37,5.68,13.51,5695.48,4,9.06,40.75,50.2
4706,2025-03-16,2120,salary,weekly,2120.0,0.0,0.0,24.67,23.5,0.93,4.45,24.56,21.89,523.04,4,29.01,22.82,48.17
6667,2025-05-05,4217,salary,weekly,4217.0,0.0,0.0,14.97,6.9,3.35,12.72,30.04,32.01,1350.04,12,42.76,35.37,21.88
2761,2024-12-21,26207,salary,monthly,26207.01,-0.01,-0.0,12.53,2.55,6.92,0.3,13.97,63.73,16701.06,10,14.27,70.65,15.08
3165,2025-02-19,4475,pocket_money,weekly,4475.0,0.0,0.0,1.29,8.35,20.74,4.45,16.41,48.77,2182.57,6,20.85,69.51,9.64
8988,2025-05-11,262,pocket_money,daily,262.0,0.0,0.0,1.34,58.94,4.53,9.63,17.29,8.27,154.41,9,26.92,12.81,60.27
8111,2024-12-15,12445,pocket_money,monthly,12444.99,0.01,0.0,22.01,14.9,3.03,0.0,37.51,22.54,4668.66,6,37.52,25.57,36.91
6706,2025-02-11,11145,pocket_money,monthly,11145.0,0.0,0.0,11.61,8.18,12.22,55.32,0.17,12.5,6165.95,6,55.49,24.72,19.79
8673,2025-01-30,3301,salary,weekly,3301.01,-0.01,-0.0,4.9,27.42,20.03,27.03,12.15,8.48,905.24,12,39.17,28.51,32.32
2815,2025-05-16,321,pocket_money,daily,321.01,-0.01,-0.0,10.08,1.91,9.93,6.97,9.34,61.77,198.29,10,16.31,71.7,11.99
2201,2025-04-11,345,salary,daily,345.01,-0.01,-0.0,38.32,11.32,13.36,20.43,14.23,2.34,132.22,3,34.66,15.7,49.64
7528,2024-12-08,517,pocket_money,daily,517.0,0.0,0.0,0.56,3.97,19.55,31.92,40.27,3.73,208.22,5,72.2,23.28,4.53
4414,2025-03-11,23262,salary,monthly,23261.98,0.02,0.0,6.88,3.58,25.82,19.22,34.66,9.84,8062.46,7,53.88,35.66,10.46
2227,2024-12-23,3931,pocket_money,weekly,3931.01,-0.01,-0.0,0.42,32.48,28.28,0.42,36.83,1.57,1447.77,5,37.25,29.85,32.9
8550,2025-02-15,669,salary,daily,669.0,0.0,0.0,24.94,1.97,11.65,1.2,40.56,19.68,271.32,8,41.76,31.32,26.91
5361,2024-12-04,8445,pocket_money,monthly,8444.99,0.01,0.0,1.55,6.5,0.0,25.5,21.85,44.6,3766.67,12,47.34,44.6,8.05
9642,2025-01-26,8591,salary,monthly,8591.0,0.0,0.0,30.24,5.38,13.75,12.78,12.09,25.76,2597.71,5,24.87,39.51,35.62
1765,2025-05-09,679,pocket_money,daily,679.0,0.0,0.0,15.51,0.14,14.35,44.3,5.73,19.98,300.78,5,50.03,34.33,15.65
8616,2024-12-18,11220,salary,monthly,11220.0,-0.0,-0.0,18.54,24.13,2.45,39.34,7.49,8.05,4414.18,6,46.83,10.5,42.67
6092,2025-04-13,573,salary,daily,573.0,0.0,0.0,41.75,1.63,6.86,5.06,35.82,8.88,239.22,3,40.88,15.74,43.38
9706,2025-01-23,9190,salary,monthly,9190.02,-0.02,-0.0,4.18,23.42,15.77,0.48,46.69,9.47,4290.9,10,47.17,25.23,27.59
1068,2025-02-11,25953,pocket_money,monthly,25953.01,-0.01,-0.0,13.43,3.11,10.24,1.77,50.69,20.75,13155.5,12,52.46,31.0,16.54
1059,2025-05-03,578,pocket_money,daily,578.01,-0.01,-0.0,13.12,4.8,1.1,37.53,5.27,38.19,220.74,5,42.8,39.29,17.91
4203,2024-12-27,658,pocket_money,daily,657.99,0.01,0.0,1.21,29.8,25.09,10.0,16.86,17.05,196.07,8,26.86,42.14,31.0
3189,2025-01-15,562,salary,daily,562.0,0.0,0.0,18.91,0.27,1.93,1.01,17.59,60.29,338.84,7,18.6,62.22,19.18
5784,2025-04-29,793,pocket_money,daily,792.99,0.01,0.0,13.21,7.49,5.21,53.78,1.33,18.98,426.44,12,55.1,24.19,20.7
1901,2025-05-15,15295,pocket_money,monthly,15295.0,0.0,0.0,12.08,7.51,6.73,4.93,57.58,11.17,8807.55,6,62.51,17.9,19.58
6434,2025-02-22,24995,pocket_money,monthly,24995.01,-0.01,-0.0,8.68,31.5,6.25,10.07,29.27,14.22,7874.22,8,39.34,20.47,40.18
3495,2025-04-28,590,pocket_money,daily,590.01,-0.01,-0.0,28.08,2.81,16.28,5.32,2.47,45.04,265.76,3,7.8,61.32,30.88
8107,2025-05-08,541,salary,daily,541.0,0.0,0.0,12.87,17.03,48.37,3.98,0.7,17.06,261.68,10,4.67,65.43,29.9
4893,2024-12-30,1630,salary,weekly,1630.0,0.0,0.0,7.56,11.33,21.25,26.78,10.12,22.95,436.52,9,36.9,44.21,18.89
2853,2025-04-28,1472,pocket_money,weekly,1472.0,0.0,0.0,17.75,42.27,32.07,0.34,3.5,4.08,622.21,8,3.84,36.14,60.02
1561,2025-01-26,544,salary,daily,544.0,0.0,0.0,31.52,23.17,19.19,12.68,7.54,5.9,171.47,7,20.21,25.09,54.69
9891,2025-04-03,1448,pocket_money,weekly,1448.0,0.0,0.0,15.09,20.55,0.29,16.71,15.49,31.85,461.21,8,32.21,32.15,35.65
2124,2025-03-18,2653,salary,weekly,2653.01,-0.01,-0.0,8.88,30.08,1.42,41.87,14.21,3.55,1110.7,12,56.08,4.97,38.96
2444,2025-04-08,1278,salary,weekly,1277.99,0.01,0.0,41.97,37.16,10.2,0.34,2.05,8.27,536.41,8,2.39,18.47,79.14
2200,2025-03-09,463,pocket_money,daily,463.01,-0.01,-0.0,8.47,26.05,56.44,4.17,0.32,4.55,261.32,10,4.5,60.99,34.51
5325,2025-04-26,9769,salary,monthly,9769.01,-0.01,-0.0,15.14,16.75,31.7,6.28,15.64,14.49,3096.87,5,21.92,46.19,31.89
3943,2025-01-19,652,salary,daily,652.0,0.0,0.0,4.13,0.29,49.93,6.25,33.74,5.66,325.52,8,40.0,55.59,4.42
7876,2025-04-05,1441,pocket_money,weekly,1441.0,0.0,0.0,43.14,19.11,0.51,2.21,25.99,9.04,621.67,4,28.19,9.55,62.25
9913,2025-03-08,12815,pocket_money,monthly,12815.0,0.0,0.0,11.63,5.67,4.64,12.9,30.64,34.5,4421.68,5,43.55,39.15,17.31
8437,2025-04-11,12239,salary,monthly,12238.98,0.02,0.0,49.19,3.85,15.45,3.81,4.39,23.31,6020.01,5,8.2,38.76,53.04
8008,2024-11-23,431,salary,daily,431.01,-0.01,-0.0,4.15,15.17,17.03,42.04,11.48,10.13,181.2,10,53.52,27.16,19.32
7203,2024-12-22,3411,salary,weekly,3410.99,0.01,0.0,16.27,42.25,6.59,2.35,2.36,30.19,1441.07,8,4.71,36.78,58.52
9513,2025-02-24,2390,salary,weekly,2389.98,0.02,0.0,39.31,13.65,15.18,15.68,6.8,9.38,939.44,10,22.48,24.56,52.96
1378,2025-01-10,19620,salary,monthly,19620.0,0.0,0.0,34.52,19.35,16.87,3.47,0.07,25.71,6772.31,3,3.54,42.58,53.87
4458,2025-04-07,25042,pocket_money,monthly,25041.99,0.01,0.0,37.26,49.8,6.55,3.17,2.25,0.98,12469.89,11,5.42,7.53,87.06
9611,2025-04-01,16513,salary,monthly,16513.0,0.0,0.0,4.18,10.64,0.01,0.65,75.68,8.85,12496.53,7,76.33,8.86,14.81
6357,2025-03-11,775,salary,daily,775.0,0.0,0.0,28.5,3.62,17.92,5.13,18.43,26.39,220.89,8,23.57,44.31,32.12
4460,2025-03-03,424,salary,daily,424.0,0.0,0.0,42.48,4.78,16.54,0.95,21.81,13.44,180.12,8,22.76,29.98,47.26
1603,2025-03-11,20329,pocket_money,monthly,20328.99,0.01,0.0,21.54,6.14,16.95,17.23,10.82,27.33,5555.38,6,28.05,44.28,27.67
8396,2025-01-07,23154,salary,monthly,23154.01,-0.01,-0.0,1.68,0.97,0.83,67.11,13.05,16.37,15537.7,12,80.16,17.2,2.65
5652,2025-01-18,24458,pocket_money,monthly,24458.0,0.0,0.0,4.66,6.29,0.94,12.54,6.54,69.02,16881.81,12,19.08,69.97,10.95
5248,2025-01-30,768,pocket_money,daily,768.01,-0.01,-0.0,12.89,2.83,41.2,35.61,0.28,7.2,316.39,10,35.88,48.4,15.72
6802,2025-03-21,7567,pocket_money,monthly,7566.99,0.01,0.0,9.72,0.58,40.47,0.07,30.53,18.63,3062.51,5,30.6,59.1,10.3
1841,2024-12-03,2280,salary,weekly,2280.0,0.0,0.0,6.12,39.57,15.72,0.04,20.03,18.51,902.27,10,20.08,34.23,45.69
5533,2025-01-06,4230,pocket_money,weekly,4230.0,0.0,0.0,8.11,25.38,5.85,26.62,8.0,26.04,1126.09,9,34.63,31.88,33.49
1669,2025-04-18,15408,salary,monthly,15408.0,0.0,0.0,10.69,3.98,24.63,14.79,10.72,35.2,5422.92,8,25.51,59.82,14.67
4873,2025-02-20,418,pocket_money,daily,418.0,0.0,0.0,45.11,8.1,20.93,3.8,1.69,20.38,188.55,7,5.49,41.31,53.21
5748,2025-01-23,259,pocket_money,daily,259.0,0.0,0.0,1.17,12.06,1.6,44.64,3.42,37.1,115.63,3,48.06,38.71,13.23
6126,2025-01-17,5513,salary,monthly,5513.0,0.0,0.0,15.32,36.18,12.13,9.23,19.85,7.29,1994.71,7,29.08,19.42,51.5
3222,2024-12-07,488,salary,daily,488.0,0.0,0.0,5.02,2.4,26.19,42.49,9.17,14.74,207.36,12,51.66,40.93,7.41
1480,2024-12-22,14671,salary,monthly,14671.0,0.0,0.0,15.11,31.31,0.99,19.8,21.28,11.52,4593.95,9,41.07,12.51,46.42
6246,2025-03-13,4808,salary,weekly,4808.0,0.0,0.0,27.61,20.66,16.23,2.05,9.68,23.76,1327.66,8,11.73,39.99,48.28
2428,2025-05-10,28859,pocket_money,monthly,28859.0,0.0,0.0,6.95,11.88,30.82,10.49,2.02,37.84,10920.64,9,12.51,68.66,18.84
9947,2025-01-19,25942,pocket_money,monthly,25942.0,0.0,0.0,23.03,0.7,9.69,20.4,4.99,41.18,10683.74,4,25.39,50.88,23.73
1625,2025-01-10,555,pocket_money,daily,555.01,-0.01,-0.0,19.24,0.06,37.47,12.29,2.16,28.79,207.94,12,14.44,66.26,19.3
6012,2025-05-02,28759,salary,monthly,28758.99,0.01,0.0,3.52,12.11,19.23,43.63,17.19,4.32,12546.17,11,60.81,23.56,15.63
1066,2025-01-18,22145,salary,monthly,22145.01,-0.01,-0.0,20.55,22.8,1.48,24.42,28.59,2.16,6332.08,5,53.01,3.64,43.35
4718,2024-11-29,583,salary,daily,583.0,0.0,0.0,1.42,7.57,28.16,2.45,26.81,33.58,195.77,4,29.26,61.74,8.99
4933,2025-01-31,3686,salary,weekly,3686.0,0.0,0.0,48.02,8.77,0.16,10.23,21.64,11.17,1770.0,11,31.88,11.34,56.79
8532,2025-05-01,4882,salary,weekly,4881.99,0.01,0.0,13.15,47.6,6.35,15.93,12.84,4.14,2323.92,5,28.77,10.48,60.75
6441,2025-03-17,607,pocket_money,daily,607.0,0.0,0.0,6.04,8.1,24.44,26.98,23.56,10.87,163.79,10,50.54,35.31,14.15
9717,2025-02-07,29165,pocket_money,monthly,29165.0,0.0,0.0,14.98,0.01,27.98,22.17,5.09,29.77,8681.44,10,27.26,57.75,14.99
3051,2025-02-14,28917,salary,monthly,28917.0,0.0,0.0,20.0,0.05,24.35,26.87,12.58,16.16,7769.07,8,39.44,40.5,20.05
5765,2025-01-15,424,pocket_money,daily,424.0,0.0,0.0,7.72,7.65,47.23,14.54,22.73,0.13,200.24,11,37.27,47.36,15.37
4595,2025-02-08,9836,salary,monthly,9836.0,0.0,0.0,4.34,57.28,7.37,0.68,11.0,19.33,5633.78,11,11.68,26.7,61.62
3886,2024-12-03,24218,pocket_money,monthly,24218.0,0.0,0.0,10.09,3.49,12.79,35.15,1.68,36.79,8909.28,11,36.83,49.58,13.59
9017,2025-04-16,4922,pocket_money,weekly,4922.01,-0.01,-0.0,13.17,40.17,3.68,27.76,11.96,3.26,1977.25,3,39.72,6.94,53.34
8968,2025-03-07,286,salary,daily,286.0,0.0,0.0,19.31,43.56,2.9,7.31,15.64,11.29,124.57,12,22.95,14.19,62.86
1582,2025-01-14,3136,salary,weekly,3136.0,0.0,0.0,2.14,0.26,25.75,14.45,0.96,56.45,1770.33,5,15.41,82.2,2.39
4243,2025-04-05,769,pocket_money,daily,769.0,-0.0,-0.0,20.53,7.68,22.76,21.26,0.11,27.66,212.74,7,21.36,50.43,28.21
2423,2025-04-20,640,salary,daily,640.01,-0.01,-0.0,0.12,20.27,30.23,30.72,14.19,4.46,196.64,3,44.92,34.69,20.39
5611,2024-12-30,443,salary,daily,443.0,0.0,0.0,23.0,6.67,6.61,1.24,30.02,32.45,143.76,6,31.26,39.06,29.67
5583,2024-11-26,426,pocket_money,daily,426.0,0.0,0.0,22.94,0.59,46.27,8.72,14.26,7.22,197.11,3,22.99,53.49,23.53
2585,2024-12-23,8732,pocket_money,monthly,8732.0,0.0,0.0,15.9,12.49,12.31,26.09,13.32,19.88,2278.54,10,39.41,32.19,28.4
1295,2025-01-17,536,salary,daily,536.0,0.0,0.0,23.03,19.37,1.14,24.8,6.07,25.6,137.21,4,30.86,26.74,42.4
9678,2024-12-11,28525,pocket_money,monthly,28525.01,-0.01,-0.0,11.6,20.92,15.59,11.9,15.24,24.76,7062.23,8,27.14,40.34,32.52
1707,2025-02-15,17835,salary,monthly,17835.0,0.0,0.0,18.43,26.51,24.2,7.27,7.28,16.31,4727.46,8,14.54,40.52,44.94
4533,2024-11-19,3703,salary,weekly,3703.0,0.0,0.0,51.86,21.78,10.38,1.09,3.19,11.69,1920.56,11,4.29,22.07,73.64
6633,2025-01-09,14633,pocket_money,monthly,14633.0,0.0,0.0,32.89,4.1,4.3,10.41,26.84,21.47,4812.65,6,37.25,25.77,36.99
6314,2025-03-01,19961,salary,monthly,19961.0,0.0,0.0,0.83,13.22,13.31,26.35,15.15,31.14,6216.45,12,41.5,44.45,14.05
3696,2025-02-13,28334,pocket_money,monthly,28333.99,0.01,0.0,22.56,17.25,1.61,42.81,9.48,6.3,12129.12,3,52.28,7.91,39.81
5360,2024-12-07,1326,salary,weekly,1326.01,-0.01,-0.0,18.26,37.17,9.57,5.76,27.4,1.84,492.94,6,33.16,11.4,55.44
